,SO,dumb,SB,CS
854,3,1.0,0,1
855,5,1.0,0,0
856,9,1.0,2,0
857,9,1.0,0,0
858,4,1.0,0,1
859,2,1.0,0,1
860,6,1.0,0,0
861,2,1.0,0,0
862,4,1.0,0,0
863,2,1.0,0,1
864,5,1.0,2,1
865,3,1.0,0,0
866,8,1.0,2,0
867,4,1.0,0,0
868,6,1.0,1,0
869,4,1.0,0,0
870,7,1.0,0,0
871,8,1.0,2,0
872,5,1.0,1,1
873,7,1.0,7,0
874,9,1.0,1,0
875,8,1.0,1,1
876,5,1.0,0,1
877,3,1.0,0,0
878,5,1.0,3,1
879,4,1.0,0,1
880,7,1.0,1,0
881,6,1.0,1,1
882,8,1.0,2,0
883,7,1.0,0,1
884,8,1.0,1,0
885,4,1.0,0,0
886,4,1.0,1,1
887,4,1.0,0,1
888,5,1.0,0,0
889,3,1.0,1,0
890,8,1.0,0,0
891,11,1.0,0,1
892,6,1.0,0,2
893,6,1.0,2,1
894,7,1.0,0,1
895,4,1.0,1,0
896,10,1.0,1,0
897,7,1.0,1,0
898,8,1.0,0,1
899,1,1.0,2,1
900,6,1.0,0,0
901,5,1.0,1,0
902,7,1.0,0,0
903,1,1.0,1,1
904,5,1.0,1,0
905,3,1.0,0,0
906,13,1.0,2,0
907,2,1.0,0,0
908,6,1.0,1,1
909,5,1.0,1,0
910,8,1.0,1,0
911,7,1.0,0,1
912,7,1.0,1,0
913,11,1.0,0,1
914,3,1.0,0,0
915,4,1.0,3,0
916,3,1.0,1,2
917,5,1.0,1,0
918,7,1.0,0,2
919,4,1.0,1,0
920,8,1.0,0,0
921,8,1.0,0,2
922,2,1.0,0,0
923,5,1.0,1,0
924,5,1.0,0,0
925,3,1.0,0,0
926,8,1.0,2,1
927,5,1.0,3,1
928,1,1.0,1,0
929,6,1.0,7,1
930,6,1.0,0,1
931,6,1.0,1,1
932,6,1.0,0,0
933,5,1.0,0,0
934,4,1.0,0,1
935,3,1.0,3,0
936,4,1.0,0,0
937,3,1.0,2,0
938,2,1.0,0,1
939,4,1.0,0,0
940,5,1.0,0,0
941,3,1.0,0,0
942,8,1.0,0,0
943,6,1.0,0,0
944,4,1.0,1,1
945,5,1.0,2,1
946,3,1.0,0,1
947,5,1.0,2,0
948,6,1.0,2,0
949,9,1.0,1,2
950,6,1.0,0,1
951,3,1.0,0,1
952,9,1.0,1,0
953,9,1.0,2,0
954,5,1.0,1,0
955,7,1.0,0,0
956,3,1.0,0,1
957,7,1.0,3,0
958,5,1.0,0,0
959,6,1.0,0,0
960,6,1.0,2,2
961,2,1.0,2,0
962,2,1.0,1,0
963,6,1.0,1,0
964,9,1.0,0,0
965,3,1.0,0,0
966,6,1.0,0,0
967,2,1.0,0,1
968,4,1.0,0,0
969,2,1.0,0,1
970,6,1.0,1,0
971,4,1.0,2,0
972,4,1.0,0,1
973,2,1.0,1,1
974,3,1.0,0,0
